iteration,official_year,ceremony_date,category_group,category,official_name,common_name,nomination_id,statement,pending,winner,official,stat,statement_name,statement_ind,entity_imdb_id,entity_type,name,title_imdb_id,title,detail,title_winner,note
2,1928/29,1930-04-03,Acting,Actress,ACTRESS,Best Actress,45,Ruth Chatterton,False,False,False,False,Ruth Chatterton,0,nm0154183,person,Ruth Chatterton,tt0020126,Madame X,['Jacqueline Floriot'],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Acting,Actress,ACTRESS,Best Actress,46,Betty Compson,False,False,False,False,Betty Compson,0,nm0173993,person,Betty Compson,tt0018674,The Barker,['Carrie'],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Acting,Actress,ACTRESS,Best Actress,47,Jeanne Eagels,False,False,False,False,Jeanne Eagels,0,nm0247074,person,Jeanne Eagels,tt0020092,The Letter,['Leslie Crosbie'],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Acting,Actress,ACTRESS,Best Actress,48,Corinne Griffith,False,False,False,False,Corinne Griffith,0,nm0341464,person,Corinne Griffith,tt0019824,The Divine Lady,"['Emma Hart, Lady Hamilton']",False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Acting,Actress,ACTRESS,Best Actress,49,Bessie Love,False,False,False,False,Bessie Love,0,nm0522281,person,Bessie Love,tt0019729,The Broadway Melody,['Hank Mahoney'],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Cinematography,Cinematography,CINEMATOGRAPHY,Best Cinematography,55,Clyde De Vinna,False,True,False,False,Clyde De Vinna,0,nm0005682,person,Clyde De Vinna,tt0019574,White Shadows in the South Seas,[],True,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]"
2,1928/29,1930-04-03,Cinematography,Cinematography,CINEMATOGRAPHY,Best Cinematography,56,George Barnes,False,False,False,False,George Barnes,0,nm0055604,person,George Barnes,tt0019237,Our Dancing Daughters,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Cinematography,Cinematography,CINEMATOGRAPHY,Best Cinematography,57,Arthur Edeson,False,False,False,False,Arthur Edeson,0,nm0249186,person,Arthur Edeson,tt0020018,In Old Arizona,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Cinematography,Cinematography,CINEMATOGRAPHY,Best Cinematography,58,Ernest Palmer,False,False,False,False,Ernest Palmer,0,nm0005823,person,Ernest Palmer,tt0019429,Street Angel,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Cinematography,Cinematography,CINEMATOGRAPHY,Best Cinematography,58,Ernest Palmer,False,False,False,False,Ernest Palmer,0,nm0005823,person,Ernest Palmer,tt0018907,Four Devils,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
